SNr,Vorname,Name,Ortsteil,Mail,Klasse
1,'Joschua','Ahrend','Staaken','JAhrend@web.de',7
2,'Franziska','Aust','Staaken','faust@istdoch.net',8
3,'Michael','Berend','Hakenfelde','michi@Berend.com',7
4,'Stefan','Bussmann','Kladow','SBussi@hotmail.com',8
5,'Jana','Dussel','Kladow','JD@haha.com',9
6,'Andreas','Depp','Altstadt','ADepp@here.com',9
7,'Jan','Ebert','Altstadt','jan@ebert.de',8
8,'Hans','Grell','Hakenfelde','H.Grell@hotmail.com',9
9,'Bianca','Frei','Gatow','frei.Bia@weg.de',8
10,'Jonas','Logo','Stresow','JLogo@yahoo.com',7
11,'Nikolai','Schulz','Stresow','NikoS@web.de',7
12,'Leila','Fink','Siemensstadt','FinkL@gmail.com',7
13,'Anna','Meinike','Siemensstadt','N.Meinike@web.de',8
14,'Michaela','Schmidt','Siemensstadt','MSchmidt@mail.de',8
