LWB;Informatik;;;;
UDBP;Sportfest;;;;
Tabellen mit Daten ;;;;;
;;;;;
TABLE Teilnahme ;;;;;
SNr;WKNr ;TnZeit;Ergebnis;;
90001;2006;'10:00';2;;
90002;2002;'08:00';3;;
90003;2001;'09:00';1;;
90004;2005;'13:00';3;;
90005;2004;'10:00';3;;
90006;2001;'08:00';3;;
90007;2006;'10:00';2;;
90008;2005;'13:00';3;;
90009;2001;'08:00';3;;
90010;2004;'10:00';3;;
90001;2003;'08:00';2;;
90002;2004;'10:00';2;;
90003;2003;'08:00';2;;
90004;2003;'10:00';2;;
90005;2002;'08:00';3;;
90006;2003;'12:00';3;;
90007;2003;'08:00';2;;
90008;2003;'10:00';2;;
90009;2004;'09:00';1;;
90010;2002;'08:00';3;;
90001;2006;'09:00';2;;
90002;2006;'11:00';2;;
90003;2001;'09:00';1;;
90004;2002;'09:00';3;;
90005;2006;'11:00';2;;
90006;2008;'11:00';2;;
90007;2006;'10:00';3;;
90008;2001;'11:00';2;;
90009;2006;'12:00';3;;
90010;2006;'11:00';2;;

